GR-IDENTIFICACAO-UORG;IT-NO-UNIDADE-ORGANIZACIONAL;IT-SG-UNIDADE-ORGANIZACIONAL;IT-SG-UF;GR-CEST-IDENTIFICACAO-UPAG;IT-CO-UORG-VINCULACAO
33200000000613;MTE/SRTE-PE/ARTE-PALMARES;ARTE-PALMA;PE;33200000001094;33200000000578
33200000000245;ARTE EM PALMEIRA DAS MISSOES;ARTE-PALMM;RS;33200000001094;33200000000242
33200000000357;MTE/SRTE-SP/.../ARTE-PARAG. PAULISTA;ARTE-PARAG;SP;33200000001094;33200000000354
33200000000974;MTE/SRTE-PA/ARTE-PARAGOMINAS;ARTE-PARAG;PA;33200000001094;33200000000953
33200000000737;MTE/SRTE-PR/GRTE-MARINGA/ARTE-PARANAVAI;ARTE-PARAN;PR;33200000001094;33200000000731
33200000000749;MTE/SRTE-PR/ARTE-PARANAGUA;ARTE-PARAN;PR;33200000001094;33200000000726
33200000000449;MTE/SRTE-RJ/GRTE-ITAGUAI/ARTE-PARATY;ARTE-PARAT;RJ;33200000001094;33200000000446
33200000000977;MTE/SRTE-PA/GRTE-MARABA/ARTE-PARAUAPEBAS;ARTE-PARAU;PA;33200000001094;33200000000976
33200000000552;MTE/SRTE-AM/ARTE-PARINTINS;ARTE-PARIN;AM;33200000001094;33200000000531
33200000001684;ARTE-PASSA-QUATRO;ARTE-PAS-Q;MG;33200000001094;33200000000919
33200000000925;ARTE EM PASSA QUATRO;ARTE-PASSA;MG;33200000001094;33200000000919
33200000000913;ARTE EM PASSOS;ARTE-PASSO;MG;33200000001094;33200000000911
33200000001389;AG REGIONAL DO TRAB E EMPR EM PASSOS;ARTE-PASSO;MG;33200000001094;33200000000911
33200000000273;MTE/SRTE-PB/.../ARTE-PATOS;ARTE-PATOS;PB;33200000001094;33200000000270
33200000000917;MTE/SRTE-MG/.../ARTE-PATOS DE MINAS;ARTE-PATOS;MG;33200000001094;33200000000915
33200000000987;MTE/SRTE-BA/.../ARTE-PAULO AFONSO;ARTE-PAULO;BA;33200000001094;33200000000985
33200000001769;ARTE-P-D-INDIOS;ARTE-P-D-I;AL;33200000001094;33200000001686
33200000001715;ARTE-P-D-RIO;ARTE-P-D-R;GO;33200000001094;33200000000081
33200000000773;ARTE EM PEDREIRAS;ARTE-PEDRE;MA;33200000001094;33200000000770
33200000001776;AG REGIONAL DO TRAB E EMPR EM PEDREIRAS;ARTE-PEDRE;MA;33200000001094;33200000001709
33200000000949;MTE/SRTE-MG/.../ARTE-PEDRO LEOPOLDO;ARTE-PEDRO;MG;33200000001094;33200000000879
33200000000313;MTE/SRTE-SP/.../ARTE-PENAPOLIS;ARTE-PENAP;SP;33200000001094;33200000000311
33200000000856;MTE/SRTE-MG/GRTE-VARGINHA/ARTE-PERDOES;ARTE-PERDO;MG;33200000001094;33200000000849
33200000000617;ARTE EM PETROLANDIA;ARTE-PETRO;PE;33200000001094;33200000000614
33200000001639;ARTE-PETROLANDIA;ARTE-PETRO;PE;33200000001094;33200000000614
33200000000706;MTE/SRTE-PI/ARTE-PICOS;ARTE-PICOS;PI;33200000001094;33200000001705
33200000000363;MTE/SRTE-SP/.../ARTE-PINDAMONHANGABA;ARTE-PINDA;SP;33200000001094;33200000000358
33200000000906;ARTE EM PIRAPORA;ARTE-PIRAP;MG;33200000001094;33200000000905
33200000001380;AG REGIONAL DO TRAB E EMPR EM PIRAPORA;ARTE-PIRAP;MG;33200000001094;33200000000905
33200000000303;MTE/SRTE-SP/.../ARTE-PIRASSUNUNGA;ARTE-PIRAS;SP;33200000001094;33200000000301
33200000000109;ARTE EM PIRES DO RIO;ARTE-PIRES;GO;33200000001094;33200000000081
33200000001561;ARTE-P-MISSOES;ARTE-P-MIS;RS;33200000001094;33200000000242
33200000000078;MTE/SRTE-MS/.../ARTE-PONTA PORA;ARTE-PONTA;MS;33200000001094;33200000000076
33200000000317;MTE/SRTE-SP/.../ARTE-PORTO FELIZ;ARTE-PORTO;SP;33200000001094;33200000000314
33200000000373;MTE/SRTE-SP/.../ARTE-PRAIA GRANDE;ARTE-PRAIA;SP;33200000001094;33200000000368
33200000000781;MTE/SRTE-MA/ARTE-PRES. DUTRA;ARTE-PRESD;MA;33200000001094;33200000001709
33200000000555;MTE/SRTE-AM/ARTE-PRES FIGUEIREDO;ARTE-PRESF;AM;33200000001094;33200000000531
33200000000429;MTE/SRTE-RJ/.../ARTE-QUEIMADOS;ARTE-QUEIM;RJ;33200000001094;33200000000428
33200000000371;MTE/SRTE-SP/GRTE-SANTOS/ARTE-REGISTRO;ARTE-REGIS;SP;33200000001094;33200000000368
33200000000434;MTE/SRTE-RJ/.../ARTE-RESENDE;ARTE-RESEN;RJ;33200000001094;33200000000433
33200000000681;MTE/SRTE-DF/ARTE-RIACHO FUNDO;ARTE-RIACH;DF;33200000001094;33200000001550
33200000000112;MTE/SRTE-GO/ARTE-RIALMA;ARTE-RIALM;GO;33200000001094;33200000000081
33200000000458;MTE/SRTE-RJ/GRTE-NITEROI/ARTE-RIO BONITO;ARTE-RIOBO;RJ;33200000001094;33200000000453
33200000000304;MTE/SRTE-SP/.../ARTE-RIO CLARO;ARTE-RIOCL;SP;33200000001094;33200000000301
33200000000475;MTE/SRTE-RJ/.../ARTE-RIO DAS OSTRAS;ARTE-RIODA;RJ;33200000001094;33200000000471
33200000000139;MTE/SRTE-SC/GRTE-ITAJAI/ARTE-RIO DO SUL;ARTE-RIODO;SC;33200000001094;33200000000138
33200000000163;MTE/SRTE-SC/.../ARTE-RIO NEGRINHO;ARTE-RIONE;SC;33200000001094;33200000000160
33200000000899;MTE/SRTE-MG/.../ARTE-RIO POMBA;ARTE-RIOPO;MG;33200000001094;33200000000897
33200000000083;MTE/SRTE-GO/ARTE-RIO VERDE;ARTE-RIOVE;GO;33200000001094;33200000000081
33200000000277;ARTE EM RORAINOPOLIS;ARTE-RORAI;RR;33200000001094;33200000000276
33200000001807;MTE/SRTE-RR/ARTE-RORAINOPOLIS;ARTE-RORAI;RR;33200000001094;33200000001691
33200000001024;MTE/SRTE-BA/ARTE-SAC TRABALHISTA;ARTE-SACTR;BA;33200000001094;33200000000984
33200000000623;ARTE EM SALGUEIRO;ARTE-SALGU;PE;33200000001094;33200000000619
33200000001460;AG REGIONAL DO TRAB E EMPR EM SALGUEIRO;ARTE-SALGU;PE;33200000001094;33200000000619
33200000001009;MTE/SRTE-BA/ARTE-SALVADOR  AFLIT;ARTE-SALVA;BA;33200000001094;33200000000984
33200000000233;ARTE EM SANTA ROSA;ARTE-SANTA;RS;33200000001094;33200000000230
33200000000777;MTE/SRTE-MA/ARTE-SANTA INES;ARTE-SANTA;MA;33200000001094;33200000001709
33200000000876;MTE/SRTE-MG/ARTE-SANTA LUZIA;ARTE-SANTA;MG;33200000001094;33200000000848
33200000000228;MTE/SRTE-RS/.../ARTE-SANT LIVRAMENTO;ARTE-SANTL;RS;33200000001094;33200000000227
33200000000993;MTE/SRTE-BA/.../ARTE-SANTO AMARO;ARTE-SANTO;BA;33200000001094;33200000000990
33200000001000;MTE/SRTE-BA/ARTE-SANTO ANTA NIO;ARTE-SANTO;BA;33200000001094;33200000000984
33200000000746;MTE/SRTE-PR/.../ARTE-S ANT PLATINA;ARTE-SANTP;PR;33200000001094;33200000000742
33200000001596;ARTE-SAO-BORJA;ARTE-SAO-B;RS;33200000001094;33200000000239
33200000000240;ARTE EM SAO BORJA;ARTE-SAOBO;RS;33200000001094;33200000000239
33200000000460;MTE/SRTE-RJ/.../ARTE-SAO FIDELIS;ARTE-SAOFI;RJ;33200000001094;33200000000459
33200000000457;MTE/SRTE-RJ/.../ARTE-SAO GONCALO;ARTE-SAOGO;RJ;33200000001094;33200000000453
33200000000175;MTE/SRTE-SC/ARTE-SAO JOSE;ARTE-SAOJO;SC;33200000001094;33200000000134
33200000000464;MTE/SRTE-RJ/.../ARTE-SAO JOAO;ARTE-SAOJO;RJ;33200000001094;33200000000462
33200000000887;ARTE EM SAO JOAO DEL REI;ARTE-SAOJO;MG;33200000001094;33200000000886
33200000000278;ARTE EM SAO LUIZ DO ANAUA;ARTE-SAOLD;RR;33200000001094;33200000000276
33200000000923;MTE/SRTE-MG/.../ARTE-SAO LOURENCO;ARTE-SAOLO;MG;33200000001094;33200000000919
33200000000669;MTE/SRTE-ES/.../ARTE-SAO MATEUS;ARTE-SAOMA;ES;33200000001094;33200000000666
33200000000108;MTE/SRTE-GO/ARTE-SAO MI ARAGUAIA;ARTE-SAOMI;GO;33200000001094;33200000000081
33200000000473;ARTE EM SAO PEDRO DA ALDEIA;ARTE-SAOPE;RJ;33200000001094;33200000000471
33200000000316;MTE/SRTE-SP/GRTE-SOROCABA/ARTE-SAO ROQUE;ARTE-SAORO;SP;33200000001094;33200000000314
33200000000374;MTE/SRTE-SP/.../ARTE-SAO SEBASTIAO;ARTE-SAOSE;SP;33200000001094;33200000000368
33200000000912;ARTE EM SAO SEBASTIAO DO PARAISO;ARTE-SAOSP;MG;33200000001094;33200000000911
33200000000427;MTE/SRTE-RJ/.../ARTE-SAPUCAIA;ARTE-SAPUC;RJ;33200000001094;33200000000421
33200000000474;MTE/SRTE-RJ/.../ARTE-SAQUAREMA;ARTE-SAQUA;RJ;33200000001094;33200000000471
33200000000606;MTE/SRTE-PE/.../ARTE-SERRA TALHADA;ARTE-SERRA;PE;33200000001094;33200000000601
33200000000676;MTE/SRTE-ES/ARTE-SERRA;ARTE-SERRA;ES;33200000001094;33200000000644
33200000000398;MTE/SRTE-SP/.../ARTE-SERTAOZINHO;ARTE-SERTA;SP;33200000001094;33200000000396
33200000000880;MTE/SRTE-MG/.../ARTE-SETE LAGOAS;ARTE-SETEL;MG;33200000001094;33200000000879
33200000000855;ARTE EM SAO GONCALO DO SAPUCAI;ARTE-SGONC;MG;33200000001094;33200000000849
33200000001685;ARTE-SAO-GONCALO-SAPUCAI;ARTE-S-G-S;MG;33200000001094;33200000000849
33200000000807;ARTE EM SINOP;ARTE-SINOP;MT;33200000001094;33200000000799
33200000001664;ARTE-S-J-DEL-REI;ARTE-S-J-D;MG;33200000001094;33200000000886
33200000000392;MTE/SRTE-SP/.../ARTE-S. J. DA BARRA;ARTE-SJDAB;SP;33200000001094;33200000000390
33200000000608;MTE/SRTE-PE/.../ARTE-S J DO EGITO;ARTE-SJDOE;PE;33200000001094;33200000000601
33200000000738;MTE/SRTE-PR/ARTE-S JOSE PINHAIS;ARTE-SJOSE;PR;33200000001094;33200000000726
33200000000305;MTE/SRTE-SP/.../ARTE-S. J. RIO PARDO;ARTE-SJRIO;SP;33200000001094;33200000000301
33200000001808;MTE/SRTE-RR/ARTE-SAO L DO ANAUA;ARTE-S-L-A;RR;33200000001094;33200000001691
33200000000835;MTE/SRTE-AL/ARTE-S.MIGUEL CAMPOS;ARTE-SMIGC;AL;33200000001094;33200000001686
33200000000150;MTE/SRTE-SC/.../ARTE-S. MIGUEL OESTE;ARTE-SMIGO;SC;33200000001094;33200000000147
33200000000680;MTE/SRTE-DF/ARTE-SOBRADINHO;ARTE-SOBRA;DF;33200000001094;33200000001550
33200000000271;MTE/SRTE-PB/.../ARTE-SOUSA;ARTE-SOUSA;PB;33200000001094;33200000000270
33200000000989;MTE/SRTE-BA/.../ARTE-SENHOR BONFIM;ARTE-SRBON;BA;33200000001094;33200000000985
33200000001679;ARTE-SANTA-RITA-SAPUCAI;ARTE-S-R-S;MG;33200000001094;33200000000919
33200000001683;ARTE-SAO-SEBASTIAO-PARAISO;ARTE-S-S-P;MG;33200000001094;33200000000911
33200000000621;MTE/SRTE-PE/.../ARTE-STA  MA  BOA VIST;ARTE-STMBO;PE;33200000001094;33200000000619
33200000000445;MTE/SRTE-RJ/.../ARTE-STO. ANT. PADUA;ARTE-STOAN;RJ;33200000001094;33200000000459
33200000000901;MTE/SRTE-MG/.../ARTE-SANTOS DUMONT;ARTE-STODU;MG;33200000001094;33200000000897
33200000000924;ARTE EM SANTA RITA DO SAPUCAI;ARTE-STRIT;MG;33200000001094;33200000000919
33200000001590;ARTE-ST-ROSA;ARTE-ST-RO;RS;33200000001094;33200000000230
33200000000605;MTE/SRTE-PE/GRTE-CARUARU/ARTE-SURUBIM;ARTE-SURUB;PE;33200000001094;33200000000601
33200000000554;MTE/SRTE-AM/ARTE-TABATINGA;ARTE-TABAT;AM;33200000001094;33200000000531
33200000000387;MTE/SRTE-SP/.../ARTE-TABOAO DA SERRA;ARTE-TABOA;SP;33200000001094;33200000000385
33200000000686;MTE/SRTE-DF/ARTE-TAGUATINGA;ARTE-TAGUA;DF;33200000001094;33200000001550
33200000001778;ARTE-TANGARA-SERRA;ARTE-TANG-;MT;33200000001094;33200000001554
33200000000821;ARTE EM TANGARA DA SERRA;ARTE-TANGA;MT;33200000001094;33200000000799
33200000000341;MTE/SRTE-SP/.../ARTE-TAQUARITINGA;ARTE-TAQUA;SP;33200000001094;33200000000339
33200000000315;MTE/SRTE-SP/GRTE-SOROCABA/ARTE-TATUI;ARTE-TATUI;SP;33200000001094;33200000000314
33200000000995;MTE/SRTE-BA/.../ARTE-TEIX DE FREITAS;ARTE-TEIXD;BA;33200000001094;33200000000994
33200000000931;MTE/SRTE-MG/.../ARTE-TEOFILO OTONI;ARTE-TEOFI;MG;33200000001094;33200000000929
33200000000426;MTE/SRTE-RJ/.../ARTE-TERESOPOLIS;ARTE-TERES;RJ;33200000001094;33200000000421
33200000000320;MTE/SRTE-SP/GRTE-SOROCABA/ARTE-TIETE;ARTE-TIETE;SP;33200000001094;33200000000314
33200000000441;MTE/SRTE-RJ/ARTE-TIJUCA;ARTE-TIJUC;RJ;33200000001094;33200000000412
33200000000611;MTE/SRTE-PE/ARTE-TIMBAUBA;ARTE-TIMBA;PE;33200000001094;33200000000578
33200000000751;MTE/SRTE-PR/GRTE-CASCAVEL/ARTE-TOLEDO;ARTE-TOLED;PR;33200000001094;33200000000739
33200000000853;MTE/SRTE-MG/.../ARTE-TRES CORACOES;ARTE-TRESC;MG;33200000001094;33200000000849
33200000000852;MTE/SRTE-MG/.../ARTE-TRES PONTAS;ARTE-TRESP;MG;33200000001094;33200000000849
33200000000425;MTE/SRTE-RJ/.../ARTE-TRES RIOS;ARTE-TRESR;RJ;33200000001094;33200000000421
33200000000153;MTE/SRTE-SC/GRTE-CRICIUMA/ARTE-TUBARAO;ARTE-TUBAR;SC;33200000001094;33200000000152
33200000000978;MTE/SRTE-PA/GRTE-MARABA/ARTE-TUCURUI;ARTE-TUCUR;PA;33200000001094;33200000000976
33200000000904;MTE/SRTE-MG/GRTE-JUIZ DE FORA/ARTE-UBA;ARTE-UBA;MG;33200000001094;33200000000897
33200000000736;MTE/SRTE-PR/GRTE-MARINGA/ARTE-UMUARAMA;ARTE-UMUAR;PR;33200000001094;33200000000731
33200000000916;MTE/SRTE-MG/GRTE-PARACATU/ARTE-UNAI;ARTE-UNAI;MG;33200000001094;33200000000915
33200000000729;MTE/SRTE-PR/.../ARTE-UN DA VITORIA;ARTE-UNDAV;PR;33200000001094;33200000001640
33200000000836;MTE/SRTE-AL/ARTE-UNIAO PALMARES;ARTE-UNIAO;AL;33200000001094;33200000001686
33200000000111;MTE/SRTE-GO/ARTE-URUACU;ARTE-URUAC;GO;33200000001094;33200000000081
33200000000437;MTE/SRTE-RJ/.../ARTE-VALENCA;ARTE-VALEN;RJ;33200000001094;33200000000433
33200000000520;MTE/SRTE-CE/.../ARTE-VARZEA ALEGRE;ARTE-VARZA;CE;33200000001094;33200000001545
33200000000436;MTE/SRTE-RJ/.../ARTE-VASSOURAS;ARTE-VASSO;RJ;33200000001094;33200000000433
33200000000894;ARTE EM VICOSA;ARTE-VICOS;MG;33200000001094;33200000000893
33200000001391;AG REGIONAL DO TRAB E EMPR EM VIC;ARTE-VICOS;MG;33200000001094;33200000000893
33200000000165;ARTE EM VIDEIRA;ARTE-VIDEI;SC;33200000001094;33200000000164
33200000001387;AG REGIONAL DO TRAB E EMPR EM VIDEIRA;ARTE-VIDEI;SC;33200000001094;33200000000164
33200000000645;MTE/SRTE-ES/ARTE-VILA VELHA;ARTE-VILAV;ES;33200000001094;33200000000644
33200000000576;MTE/SRTE-RO/ARTE-VILHENA;ARTE-VILHE;RO;33200000001094;33200000001555
33200000000646;MTE/SRTE-ES/ARTE-VITORIA;ARTE-VITOR;ES;33200000001094;33200000000644
33200000000610;MTE/SRTE-PE/ARTE-VIT SANT ANTAO;ARTE-VITST;PE;33200000001094;33200000000578
33200000000319;MTE/SRTE-SP/.../ARTE-VOTORANTIM;ARTE-VOTOR;SP;33200000001094;33200000000314
33200000000308;MTE/SRTE-SP/.../ARTE-VOTUPORANGA;ARTE-VOTUP;SP;33200000001094;33200000000307
33200000001157;MTE/AESCOM;ASCOM;DF;33200000001094;33200000000001
33200000001228;MTE/ASPAR;ASPAR;DF;33200000001094;33200000000001
33200000001158;MTE/ASSINT;ASSINT;DF;33200000001094;33200000000001
33200000001319;COORD DE ARTIC E ACOES TRANSVERSAIS;CAAT;DF;33200000001094;33200000001164
33200000001633;CACD;CACD;DF;33200000001094;33200000001140
33200000001688;CAFIN;CAFIN;DF;33200000001094;33200000001931
33200000001141;COORD APOIO ADM E GESTAO ATENDIMENTO;CAGE;DF;33200000001094;33200000001140
33200000001231;MTE/CORREG/CAIC;CAIC;DF;33200000001094;33200000001229
33200000001181;MTE/SEQ/DPJ/CGAN/CAP;CAP;DF;33200000001094;33200000001180
33200000001069;MTE/SE/DPC/CGPC/CAPC;CAPC;DF;33200000001094;33200000001068
33200000001110;MTE/SE/DGP/CGPAG/CAPE;CAPE;DF;33200000001094;33200000001104
33200000001200;COORD DE CONTROLE E ACESSO A SISTEMAS;CASIS;DF;33200000001094;33200000001186
33200000001061;MTE/CONJUR/CGAT/CAT;CAT;DF;33200000001094;33200000001059
33200000001702;CATCE;CATCE;DF;33200000001094;33200000001066
33200000001149;MTE/SE/SEET/CGEET/CCAD;CCAD;DF;33200000001094;33200000001148
33200000001221;MTE/CCFGTS;CCFGTS;DF;33200000001094;33200000000001
33200000001320;COORD DE CADASTROS INF COOP SOLIDARIO;CCIS;DF;33200000001094;33200000001164
33200000001134;MTE/SE/DLOC/CGLIC/CCON;CCON;DF;33200000001094;33200000001132
33200000001687;CCON;CCON;DF;33200000001094;33200000001277
33200000001282;MTE/SE/DLOC/CGCC/CCONT;CCONT;DF;33200000001094;33200000001135
33200000001160;MTE/ASSINT/CCI;CCT;DF;33200000001094;33200000001158
33200000001824;COORDENACAO DE GESTAO DE DADOS;CDAD;DF;33200000001094;33200000001727
33200000001178;MTE/CDCHPE;CDCHPE;DF;33200000001094;33200000000001
33200000001242;MTE/CNTRE/CE-CNTRE;CE-CNTRE;DF;33200000001094;33200000001241
33200000001295;SERVIDORES CEDIDOS E AFASTADOS DO MTE;CEDAFASTMT;DF;33200000001094;33200000001094
33200000001283;MTE/SE/SEET/CGDT/CEDIT;CEDIT;DF;33200000001094;33200000001151
33200000001294;SERVIDORES MTE CEDIDOS AO MPS;CEDMPS;DF;33200000001094;33200000001094
33200000001122;MTE/SE/DLOC/CGGOV/COEOF;CEOF;DF;33200000001094;33200000001519
33200000001317;COORD EXEC ORCAM E FINANCEIRA;CEOF;DF;33200000001094;33200000001162
33200000001266;COORD DO CERIMONIAL;CERIM;DF;33200000001094;33200000001157
33200000001306;COORDENAA A O DO CERIMONIAL;CERIM;DF;33200000001094;33200000001152
33200000001338;COORDENACAO-GERAL DE CERIMONIAL;CERIM;DF;33200000001094;33200000001152
33200000001280;MTE/SE/SEET/CGEET/CET;CET;DF;33200000001094;33200000001148
33200000001205;MTE/SPT/DGF/CGFAT/CFAT;CFAT;DF;33200000001094;33200000001277
33200000001203;MTE/SPT/DGF/CGFGTS/CFGTS;CFGTS;DF;33200000001094;33200000001202
33200000001138;MTE/SE/DLOC/CGOF/CFIN;CFIN;DF;33200000001094;33200000001137
33200000001309;COORDENACAO DE GESTAO ADMINISTRATIVA;CGA;DF;33200000001094;33200000001147
33200000001055;MTE/CONJUR/CGAA;CGAA;DF;33200000001094;33200000001054
33200000001153;COORD-GERAL DE APOIO ADMINISTRATIVO;CGAA;DF;33200000001094;33200000001152
33200000001180;MTE/SEQ/DPJ/CGAN;CGAN;DF;33200000001094;33200000001179
33200000001059;MTE/CONJUR/CGAT;CGAT;DF;33200000001094;33200000001054
33200000001714;CGCAD;CGCAD;DF;33200000001094;33200000000002
33200000001084;MTE/SE/DTI/CGCAQ;CGCAQ;DF;33200000001094;33200000001072
33200000001135;MTE/SE/DLOC/CGCC;CGCC;DF;33200000001094;33200000001921
33200000001506;CGCIP;CGCIP;DF;33200000001094;33200000001201
33200000001097;MTE/SE/DGP/CGCPQ;CGCPQ;DF;33200000001094;33200000001094
33200000001151;MTE/SE/SEET/CGDT;CGDT;DF;33200000001094;33200000001147
33200000001148;MTE/SE/SEET/CGEET;CGEET;DF;33200000001094;33200000001147
33200000001119;MTE/SE/DLOC/CGENG;CGENG;DF;33200000001094;33200000001921
33200000001120;MTE/SE/DLOC/CGENG/COPAR;CGENG;DF;33200000001094;33200000001119
33200000001175;MTE/SEQ/DEMP/CGEST;CGEST;DF;33200000001094;33200000001923
33200000001277;MTE/SPT/DGF/CGFAT;CGFAT;DF;33200000001094;33200000001201
33200000001928;CGFE;CGFE;DF;33200000001094;33200000001927
33200000000010;MTE/SIT/DEFIT/CGFGTS;CGFGTS;DF;33200000001094;33200000000005
33200000001202;MTE/SPT/DGF/CGFGTS;CGFGTS;DF;33200000001094;33200000001201
33200000001299;COORD-GERAL FISC ERRAD TRAB ESCRAV TRAF;CGFISTAB;DF;33200000001094;33200000001094
33200000000006;MTE/SIT/DEFIT/CGFIT;CGFIT;DF;33200000001094;33200000000005
33200000001073;MTE/SE/DTI/CGGE;CGGE;DF;33200000001094;33200000001072
33200000001519;CGGOV;CGGOV;DF;33200000001094;33200000001921
33200000001727;CGID;CGID;DF;33200000001094;33200000001186
33200000001250;MTE/SIT/CGIF;CGIF;DF;33200000001094;33200000000002
33200000001088;MTE/SE/DTI/CGINFRA;CGINFRA;DF;33200000001094;33200000001072
33200000001114;MTE/SE/CGINT;CGINT;DF;33200000001094;33200000001063
33200000001132;MTE/SE/DLOC/CGLIC;CGLIC;DF;33200000001094;33200000001921
33200000000021;MTE/SIT/DSST/CGNOR;CGNOR;DF;33200000001094;33200000000014
33200000001116;MTE/SE/SAT/CGNORMAS;CGNORMAS;DF;33200000001094;33200000001113
33200000001325;COMITE GESTOR DAS OP DE CREDITO CONSIG;CGOCC;DF;33200000001094;33200000000001
33200000001083;MTE/SE/DTI/CGSOL/CGOD;CGOD;DF;33200000001094;33200000001078
33200000001137;MTE/SE/DLOC/CGOF;CGOF;DF;33200000001094;33200000001921
33200000001733;COORDENACAO DE GOVERNANCA;CGOV;DF;33200000001094;33200000001506
33200000001163;MTE/SENAES/DPARF/CGPAF;CGPA;DF;33200000001094;33200000001162
33200000001615;CGPAC;CGPAC;DF;33200000001094;33200000001152
33200000001104;MTE/SE/DGP/CGPAG;CGPAG;DF;33200000001094;33200000001094
33200000001722;CGPAT;CGPAT;DF;33200000001094;33200000001185
33200000001068;MTE/SE/DPC/CGPC;CGPC;DF;33200000001094;33200000001064
33200000001169;MTE/SEQ/DEQ/CGPE;CGPE;DF;33200000001094;33200000001168
33200000001173;MTE/SEQ/DEMP/CGPE;CGPE;DF;33200000001094;33200000001923
33200000001304;COMITE GESTOR PROG PROD AUDIT-FISC TRAB;CGPPAFT;DF;33200000001094;33200000001063
33200000001174;MTE/SEQ/DEMP/CGPE/CGPR;CGPR;DF;33200000001094;33200000001173
33200000001166;COORD-GERAL DE PROJETOS;CGPRO;DF;33200000001094;33200000001927
33200000000013;MTE/SIT/CGR;CGR;DF;33200000001094;33200000000002
33200000001224;MTE/AECI/CGRCI;CGRCI;DF;33200000001094;33200000001223
33200000001278;COORD-GERAL RECURSOS DO FAT;CGRFAT;DF;33200000001094;33200000001201
33200000001931;CGRFAT;CGRFAT;DF;33200000001094;33200000001201
33200000001121;MTE/SE/DLOC/CGRL;CGRL;DF;33200000001094;33200000001921
33200000000031;MTE/SRT/DRT/CGRS;CGRS;DF;33200000001094;33200000000028
33200000000029;MTE/SRT/DRT/CGRT;CGRT;DF;33200000001094;33200000000028
33200000001188;CG SEG-DES AB SAL IDENTI PROFISSIONAL;CGSAP;DF;33200000001094;33200000001186
33200000001924;CGSAP;CGSAP;DF;33200000001094;33200000001186
33200000001730;CGSDPA;CGSDPA;DF;33200000001094;33200000001186
33200000001518;CGSI;CGSI;DF;33200000001094;33200000001072
33200000001078;MTE/SE/DTI/CGSOL;CGSOL;DF;33200000001094;33200000001072
33200000000016;MTE/SIT/DSST/CGSST;CGSST;DF;33200000001094;33200000000014
33200000001939;CGTA;CGTA;DF;33200000001094;33200000001152
33200000001066;MTE/SE/DPC/CGTCE;CGTCE;DF;33200000001094;33200000001064
33200000000008;MTE/SIT/DEFIT/CGTRAE;CGTRAE;DF;33200000001094;33200000000005
33200000001140;MTE/SE/CGUD;CGUD;DF;33200000001094;33200000001063
33200000001190;MTE/SPT/DGB/CGID/CIRP;CIRP;DF;33200000001094;33200000001727
33200000001089;MTE/SE/DTI/CGINFRA/CITI;CITI;DF;33200000001094;33200000001088
33200000001095;MTE/SE/DGP/CLEG;CLEG;DF;33200000001094;33200000001094
33200000001296;SERVIDORES CLT;CLT;DF;33200000001094;33200000001094
33200000001307;COORDENACAO DE MONITORAMENTO E AVALIACAO;CMA;DF;33200000001094;33200000001163
33200000001146;MTE/SE/CODIN/CMI;CMI;DF;33200000001094;33200000001144
33200000001213;MTE/CNES;CNES;DF;33200000001094;33200000000001
33200000001240;MTE/CONAETI;CNETI;DF;33200000001094;33200000000001
33200000000030;MTE/SRT/DRT/CGRT/CNMA;CNMA;DF;33200000001094;33200000000029
33200000001220;MTE/CNT;CNT;DF;33200000001094;33200000000001
33200000001218;MTE/CTPP/CNTA-PNSST;CNTA-PNSST;DF;33200000001094;33200000001217
33200000001219;MTE/CTPP/CNTAQO;CNTAQO;DF;33200000001094;33200000001217
33200000001241;MTE/CNTRE;CNTRE;DF;33200000001094;33200000000001
33200000001176;MTE/SEQ/DEMP/CGEST/COAG;COAG;DF;33200000001094;33200000001175
33200000001171;MTE/SEQ/DEQ/CGPE/COAIN;COAIN;DF;33200000001094;33200000001169
33200000001189;MTE/SPT/DGB/COAR;COAR;DF;33200000001094;33200000001186
33200000001193;MTE/SPT/DGB/CGSAP/COAS;COAS;DF;33200000001094;33200000001924
33200000001128;MTE/SE/DLOC/CGRL/COADS;COASG;DF;33200000001094;33200000001121
33200000001204;COORDENACAO DE ANALISE TECNICA;COAT;DF;33200000001094;33200000001202
33200000001430;COORDENAA A O DE APOIO TA CNICO;COAT;DF;33200000001094;33200000001939
33200000001150;MTE/SE/SEET/CGEET/COBTRAB;COBTRAB;DF;33200000001094;33200000001148
33200000001199;COORD CAPACIT TREIN GESTAO BENEFICIOS;COCAT;DF;33200000001094;33200000001186
33200000001098;MTE/SE/DGP/CGCPQ/COCAV;COCAV;DF;33200000001094;33200000001097
33200000001076;MTE/SE/DTI/CGGE/COCIN;COCIN;DF;33200000001094;33200000001073
33200000001226;MTE/AECI/CGRCI/COCRI;COCRI;DF;33200000001094;33200000001224
33200000001101;MTE/SE/DGP/CGCPQ/CODEF;CODEF;DF;33200000001094;33200000001097
33200000001222;MTE/CODEFAT;CODEFAT;DF;33200000001094;33200000000001
33200000001100;MTE/SE/DGP/CGCPQ/CODEP;CODEP;DF;33200000001094;33200000001097
33200000001079;COORD DESENV E ARQUITETURA SOLUCOES;CODES;DF;33200000001094;33200000001078
33200000001123;MTE/SE/DLOC/CGRL/CODIN;CODIN;DF;33200000001094;33200000001121
