GR-IDENTIFICACAO-UORG;IT-NO-UNIDADE-ORGANIZACIONAL;IT-SG-UNIDADE-ORGANIZACIONAL;IT-SG-UF;GR-CEST-IDENTIFICACAO-UPAG;IT-CO-UORG-VINCULACAO
33200000000140;MTE/SRTE-SC/GRTE-ITAJAI/ARTE-BLUMENAU;ARTE-BLUME;SC;33200000001094;33200000000138
33200000000859;MTE/SRTE-MG/.../ARTE-BOA ESPERANCA;ARTE-BOAES;MG;33200000001094;33200000000849
33200000000908;ARTE EM BOCAIUVA;ARTE-BOCAI;MG;33200000001094;33200000000905
33200000001379;AG REGIONAL DO TRAB E EMPR EM BOCAIUVA;ARTE-BOCAI;MG;33200000001094;33200000000905
33200000000615;ARTE EM BOM CONSELHO;ARTE-BOMCO;PE;33200000001094;33200000000614
33200000000938;ARTE EM BOM DESPACHO;ARTE-BOMDE;MG;33200000001094;33200000000933
33200000000443;MTE/SRTE-RJ/.../ARTE-BOM JESUS;ARTE-BOMJE;RJ;33200000001094;33200000000459
33200000001003;MTE/SRTE-BA/.../ARTE-BOM JESUS LAPA;ARTE-BOMJE;BA;33200000001094;33200000001001
33200000000328;MTE/SRTE-SP/GRTE-BAURU/ARTE-BOTUCATU;ARTE-BOTUC;SP;33200000001094;33200000000327
33200000000378;MTE/SRTE-SP/.../ARTE-BRAG. PAULISTA;ARTE-BRAGP;SP;33200000001094;33200000000377
33200000001812;ARTE-BRASILIA-I;ARTE-BRASI;DF;33200000001094;33200000001550
33200000001814;ARTE-BRASILIA II;ARTE-BRASI;DF;33200000001094;33200000001550
33200000000696;MTE/SRTE-DF/ARTE-BRAZLANDIA;ARTE-BRAZL;DF;33200000001094;33200000001550
33200000001007;MTE/SRTE-BA/.../ARTE-BRUMADO;ARTE-BRUMA;BA;33200000001094;33200000001004
33200000000142;MTE/SRTE-SC/GRTE-ITAJAI/ARTE-BRUSQUE;ARTE-BRUSQ;SC;33200000001094;33200000000138
33200000001816;ARTE-BSB-III;ARTE-BSB-I;DF;33200000001094;33200000001550
33200000000166;ARTE EM CACADOR;ARTE-CACAD;SC;33200000001094;33200000000164
33200000001386;AG REGIONAL DO TRAB E EMPR EM CACADOR;ARTE-CACAD;SC;33200000001094;33200000000164
33200000000810;ARTE EM CACERES;ARTE-CACER;MT;33200000001094;33200000000799
33200000001734;AG REGIONAL DO TRAB E EMPR EM CACERES;ARTE-CACER;MT;33200000001094;33200000001554
33200000001036;MTE/SRTE-RN/ARTE-CAICO;ARTE-CAICO;RN;33200000001094;33200000001710
33200000000272;MTE/SRTE-PB/.../ARTE-CAJAZEIRAS;ARTE-CAJAZ;PB;33200000001094;33200000000270
33200000000100;MTE/SRTE-GO/ARTE-CALDAS NOVAS;ARTE-CALDA;GO;33200000001094;33200000000081
33200000000518;MTE/SRTE-CE/GRTE-SOBRAL/ARTE-CAMOCIM;ARTE-CAMOC;CE;33200000001094;33200000000515
33200000001736;ARTE-CAMP-VERDE;ARTE-CAMP-;MT;33200000001094;33200000001554
33200000000480;MTE/SRTE-RJ/ARTE-CAMPO GRANDE;ARTE-CAMPO;RJ;33200000001094;33200000000412
33200000000716;MTE/SRTE-PI/ARTE-CAMPO MAIOR;ARTE-CAMPO;PI;33200000001094;33200000001705
33200000000733;MTE/SRTE-PR/.../ARTE-CAMPO MOURAO;ARTE-CAMPO;PR;33200000001094;33200000000731
33200000000806;ARTE EM CAMPO VERDE;ARTE-CAMPO;MT;33200000001094;33200000000799
33200000000850;ARTE EM CAMPO BELO;ARTE-CAMPO;MG;33200000001094;33200000000849
33200000001621;ARTE-CAMPO-BELO;ARTE-CAMPO;MG;33200000001094;33200000000849
33200000000498;MTE/SRTE-CE/ARTE-CANINDE;ARTE-CANIN;CE;33200000001094;33200000000495
33200000000451;MTE/SRTE-RJ/.../ARTE-CANTAGALO;ARTE-CANTA;RJ;33200000001094;33200000000450
33200000000980;MTE/SRTE-PA/ARTE-CAPANEMA;ARTE-CAPAN;PA;33200000001094;33200000000953
33200000000279;ARTE EM CARACARAI;ARTE-CARAC;RR;33200000001094;33200000000276
33200000001806;MTE/SRTE-RR/ARTE-CRACARAI;ARTE-CARAC;RR;33200000001094;33200000001691
33200000000359;MTE/SRTE-SP/.../ARTE-CARAGUATATUBA;ARTE-CARAG;SP;33200000001094;33200000000358
33200000000932;ARTE EM CARATINGA;ARTE-CARAT;MG;33200000001094;33200000000929
33200000001482;AG REGIONAL DO TRAB E EMPR EM CARATINGA;ARTE-CARAT;MG;33200000001094;33200000000929
33200000000244;MTE/SRTE-RS/.../ARTE-CARAZINHO;ARTE-CARAZ;RS;33200000001094;33200000000242
33200000000783;ARTE EM CAROLINA;ARTE-CAROL;MA;33200000001094;33200000000770
33200000001749;AG REGIONAL DO TRAB E EMPR EM CAROLINA;ARTE-CAROL;MA;33200000001094;33200000001709
33200000000975;MTE/SRTE-PA/ARTE-CASTANHAL;ARTE-CASTA;PA;33200000001094;33200000000953
33200000000110;MTE/SRTE-GO/ARTE-CATALAO;ARTE-CATAL;GO;33200000001094;33200000000081
33200000000496;MTE/SRTE-CE/ARTE-CAUCAIA;ARTE-CAUCA;CE;33200000001094;33200000000495
